845: 405,924,1026,967,1126,796
846: 269,1229,614,1073,1173
847: 799,195,1021,1006,46,763
848: 1163,191,1038,230,923
1173: 672,420,269,846,523,614,518
850: 282,412,369,328,248,862
851: 148,387,184,399
852: 881,785,546,193,327
1172: 1068,1063,201,691,1150,191
854: 801,790,779,246,393,612
855: 1168,1174,976,1041,808,915
856: 716,167,329,217,325,215
857: 956,241,362,871,562,189
858: 677,837,419,302,375,809
859: 445,979,62,881
860: 615,506,820,1036,453,1039
861: 137,1211,494,37
862: 704,369,850,920,359
863: 838,363,926,662,741,473
864: 797,229,655
865: 513,1177,1026,53,897,481
866: 33,762,55,807,620,828
867: 1049,1100,1231,822,247,936
1205: 47,574,1035,908,374,413
869: 994,323,718,276
1237: 289,662,1245,741
871: 750,530,562,386,857,241
872: 249,236,143,15,476,85
873: 598,831,607,326,217
874: 18,590,184,411,379,792
875: 114,972,889,154,750
876: 1145,1027,35,1180,1075,1115
877: 222,775,1046,1076,1062,1005,51,303
878: 58,341,513,761,481,759
1222: 600,364,1221,197,1215,1175,676
1243: 690,803,447,163,410
881: 785,852,546,979,859,445
882: 934,250,108,625,479,1070
883: 57,204,991,315,1204
884: 555,682,841,747,1220,1146
885: 599,122,826,726,216,719
886: 415,708,535,185
887: 658,1070,447,410,813
888: 393,63,985,834,238,825
889: 503,1179,972,875,154
890: 1171,1094,403,41,660,987
891: 509,10,684,821,1010
892: 565,665,183
893: 543,738,1223,969
1171: 890,1094,1122,88,987,931
895: 189,949,367,668,306,601
1221: 1222,197,38,585,1215
897: 53,622,865,924,1026
898: 516,169,171,1040,10
899: 836,309,251,736,842,567
900: 315,968,630,730,436,572
901: 723,684,1103,146,1031,675
902: 150,338,480,125,271,531
1203: 476,85,25,28,679,706
904: 84,720,628,131,564,843
905: 623,926,651,473
906: 105,335,402,1235,982,137
1162: 1083,1069,457,1099,770,115
908: 940,19,374,1205,79,413
909: 1049,1100,823,584,1185,1132
910: 253,192,278,152,102
1206: 
912: 240,1230,639,1242,544
913: 361,702,572,968,4,526
914: 234,429,20,1009,475,748
915: 1,487,488,808,1168,855
916: 938,158,118,1135,550,1110
917: 30,284,31,727,782,181
1180: 350,67,1027,876,1098,1115
