1303: 560,1173,1007,267,1279
623: 905,651,1233,800
624: 815,87,451,700,431,132
625: 882,108,1251,669,1236,479
626: 216,719,144,673,240,950
627: 180,202,1015,71,223,1134
628: 904,720,641,713,263,84
629: 699,747,582,170,27,32
1261: 67,774,350,952,1246,1254
1141: 1242,744,659,656,788,1284
632: 176,798,214,508,717
633: 742,1287,504,28,459,706
634: 1255,1018,204,579,1101
635: 729,376,295,483,707,332,392
1194: 1166,1130,45,723,1049,975
637: 254,647,956,241,805,961
1232: 1048,1226
639: 1230,912,1284,1242,355,97
1279: 1179,1303,1007,1029,267
641: 1189,540,58,713,628,720
642: 742,1287,745,1089,468
643: 1035,268,1016,233,971
644: 1049,975,818,1125,534,819
645: 508,146,208,1002,1066,1085
646: 1158,932,170,582
647: 254,637,1231,386,241,247
648: 755,380,733,164,1037,281
649: 690,803,435,307,1111,425,134
650: 5,256,320,953
651: 389,1271,1233,926,905,623
652: 541,961,229,830,186
653: 948,1271,590,8,121,1252
1204: 548,712,98,883,57,816
655: 136,229,864,797
656: 829,788,418,536,659,1141
657: 611,715,48,468,109
658: 887,479,813,705,325
659: 937,536,656,744,1141
660: 987,394,532,331,403
661: 931,1105,34,1297,789
662: 1245,396,863,363,1237,741
663: 215,813,607,447,690,435
664: 157,506,860,1299,1039,615
665: 1155,471,565,1272,746,273
666: 1264,1230,685,939
667: 178,430,458,103,344,511
668: 154,306,1239,415,367,895
669: 524,246,54,1251,625,108
670: 265,133,1241,293
671: 339,227,36,1053,835,714
672: 560,1173,1289,395,600
673: 1242,744,626,719,240
674: 705,329,21,1250
675: 767,1031,901,508,146,214
676: 600,919,1175,364,1222,1158
677: 837,858,608,498,1214,375
678: 249,847,46,759,263,84
1302: 1145,35,350,1278,514,774
680: 211,1216,1146,1220,682,884
681: 1001,1168,1,1012,1154,1198
682: 884,841,680,1216,196,237
683: 131,954,1293,1183,227,36
684: 1152,621,509,1010,1166,1130
685: 360,939,834,355,1230,666
686: 204,297,1190,794,620,1018
1128: 1078,717,1077,1033,24,1124
688: 316,495,700,575,431
1275: 493,695,93,1270,203,187
690: 649,1243,803,435,663,447
691: 1106,1196,1027,1097,1113,1092
692: 1180,1027,67,876,115,1092
693: 449,519,139
694: 993,345,773,1209,1055,68
695: 493,1275,963,1270,384,793
696: 938,451,225,550,1034,87
697: 728,129,52,806,69,578,989
1188: 1248,714,1131,133,385,293
699: 629,747,582,555
