1241: 293,1309,670,265,166,963
704: 177,615,157,286,1212,359
705: 674,325,1070,658,813
706: 459,469,25,1203,28,633
707: 378,1313
708: 415,367,886,787
1272: 565,892,1155,665
710: 1240,1252,1233,800,929,1149
711: 605,603,1089,64,915,96
712: 548,1204,315,968,883,4
713: 759,263,628,58,1312,720
714: 1248,1188,671,339,1053,1131
715: 657,611,468,576,337,587
716: 167,856,329,325,6
717: 1085,1077,352,176,1078,1124,1128
718: 179,546,869,990,209,276
719: 216,626,726,885,673,744
720: 904,1314,1312,713,628
721: 461,557,234,429,353,1224
1184: 1172,1038,1086,1126,515,1151
723: 45,1065,1004,1103,1166,1194
724: 104,950,544,353,461,2
1316: 560,672,1173,1007,267,1303
726: 117,937,885,826,744,719
727: 917,374
728: 243,129,697,578,989,168
729: 1255,116,1018,866,295
730: 1207,436,7,337,900,572
731: 1176,554,1306,1087
732: 267,296,1025,484,619
1114: 563,581,1127,1111
734: 69,613,820,1235,989,155
735: 339,227,1293,843,476,758
736: 16,38,842,899,585,567
1183: 1017,844,942,954,683,36
738: 543,893,969,1088,1217,54
1227: 283,838,212,205,948,389
740: 1135,1147,545,1077,24,1128
741: 473,662,863,1237
742: 1287,633,745,1050,504
1286: 501,1273,939,1290
744: 673,659,726,937,719
745: 742,1287,642,1050,603,1089
746: 563,581,183,565,665,425,273
747: 629,699,27,1220,555,884
748: 914,234,1009,437,966
1198: 525,1016,1,1154,1035,487
750: 875,114,972,928,1294,530
751: 1315,1074,1164,266,408,0
752: 111,116,60,777
753: 498,1214,348,86
754: 206,584,23,822,823
755: 1277,648,243,380,168
1174: 1041,73,1076,1014,346,1051,1064
757: 760,488,592,957,1059
758: 305,1248,476,339,735,1307
759: 713,263,513,878,496,53
760: 757,488,1050,1318,3
1159: 1182,452,1121,378
762: 794,33,31,413,529
1119: 589,1298,1288,512,783,1164
1168: 1001,1030,1028,1012,681,1304
1153: 417,971,1144,1178,1160
1229: 292,140,269,519
767: 466,1031,1081,810,675,214
768: 1135,1024,840,545,433,1002
769: 256,990,357,209,1000,998
1301: 877,924,976
771: 124,606,95,539
1240: 121,710,1252,1228,1149
773: 314,1209,936,149,527,345,694
774: 67,876,1261,350,1145,1302
1252: 121,710,1240,653,1271,1233
776: 317,174,1245,1234,289
777: 1234,60,174,752
778: 179,1170,260,990,357
779: 801,854,829,788,393,888
780: 577,815,132,1182
781: 262,588,1269,328,248
782: 316,1305
783: 381,266,512,811,1119,1164
784: 604,27,395,32,560,296
785: 369,1257,193,862,920,359
786: 1132,1110,1167,333,99
787: 601,1238,367,708
788: 1141,829,1284,779,888,97
789: 1013,34,1297,661,244
790: 801,854,528,606,524,246
1263: 26,1061,1155,471
792: 205,354,304,411,874
793: 1225,384,469,219,695,963
794: 762,1091,413,188
795: 386,822,928,23,530
1278: 426,514,1277,648,35
797: 77,864,1055,655
798: 352,632,214,1081,1062,517,1139
799: 957,1318,877,678
800: 929,1233,710,623
801: 790,854,779,124,606,829
802: 553,809,571,824,1253
803: 690,307,9,1111,649,163
1118: 1138,107,1136,1281
805: 271,125,956,637,961
806: 52,966,1104,467,69,697
1133: 460,1096,1099,1022,1098,1047
1132: 786,1110,1167,909,1100,1185
809: 553,802,302,978,142
810: 1081,221,91,1075,466,767
811: 512,37,839,381,783
1213: 1160,1292,1178,1190,991
813: 658,887,215,447,856,705,325
814: 501,1290,285,1123
815: 624,610,132,577,780
816: 57,579,1204,317,1101,98
1233: 651,1271,710,1252,623,800
818: 975,644,510,463,507
819: 507,333,534,99,644,1125,194
820: 1084,319,1265,613,734,155
1314: 720,1189,198,131
822: 1231,795,23,754,823
823: 867,909,754,1231,822
824: 538,419,1253,858,802
825: 40,992,242,238,934,310
826: 599,885,117,726
1130: 1166,1194,1152,684,975
1284: 1141,788,1242,97,639
829: 1141,788,124,418,656,801,779
830: 961,652,254,1140,314,186
831: 178,326,165,598,873
832: 360,40,992,356,1273,1283
1281: 1136,153,1247,1118
834: 360,685,238,355,985,40
835: 1053,1017,671,36
836: 309,899,86,498,251,375
837: 677,858,608,951,419
838: 863,283,363,926,1227,389
839: 391,173,450,494,811
840: 1195,1125,433,1002,194,768,1024
841: 555,682,884,237
842: 736,16,309,899
843: 564,476,904,1293,735
844: 1017,1183,942,5
1137: 1015,244,482,661,1120,1161
846: 269,1289,519,1173,614
1122: 1112,1090,1099,1011,1056,1162
848: 401,959
1173: 672,1316,846,1289,1007,614
850: 282,412,862,328,248,177
851: 148,387,399
852: 1257,979,445,327,546,994
1172: 1184,1038,1115,1151,1163,1150
854: 801,790,779,246,393
1307: 1203,28,476,872,85,758
856: 716,217,215,813,325
857: 362,956,241,871,562,189
858: 677,837,824,419,302,375
859: 445,62,1280,979
860: 1036,409,1299,1269,1039
861: 137,1211,999,37,1288
862: 282,850,177,359,369,785
863: 838,363,926,662,741,473
864: 1209,186,1055,229,655,797
865: 53,897,513
866: 376,55,1091,729,1018
867: 823,909,936,1285,1185
1299: 1036,860,1084,1265,664,1039
869: 994,546,718,276
1237: 289,662,1245,741
871: 1294,530,386,241,857
872: 564,476,249,15,85,1307
873: 598,583,607,326,831,217
874: 8,1311,411,379,792
875: 972,750,1276,154,1294,562
876: 67,774,1145,692,691
877: 53,897,50,976,1301,799
878: 496,759
1222: 197,364,1221,1215,1175,676
1243: 690,410,663,447,887,1236
1123: 814,1169,1142,1093
882: 250,658,479,1070,42,934
883: 57,1292,315,712,1204
884: 555,682,841,747,1220,680
885: 599,122,826,726,216,719
886: 415,708,535,185
887: 658,1236,479,813,1243,447
888: 63,393,779,788,985,97
1271: 651,948,389,1233,653,1252
890: 1109,398,49,1102
1260: 906,453,155,664,1265,506
892: 565,1272
893: 543,738,1223,969
1171: 1161,71,1120,1157,1112
895: 189,949,367,668,306,601
1221: 197,1222,1215
897: 53,877,865,303,513,50
1259: 182,403,987,80
899: 836,309,251,736,842,567
900: 315,968,1044,730,436,572
901: 423,1103,1031,1065,675,146
902: 150,338,480,271,531,125
1203: 28,1307,305,706,25
904: 720,84,843,564
905: 623,926,651,473
906: 453,155,1260,1235,402,335
1162: 201,1022,1056,1003,1099,1122
1311: 8,1267,874,379,387,399
909: 867,823,584,1132,1167,1185
1264: 933,104,258,952
1206: 
912: 240,1230,639,933,1242,544
913: 361,702,572,968,526,4
914: 234,429,748,20,1009,475
915: 1020,96,1304,711,605
916: 938,1110,118,927,550,1100
